url,image,title,text
/article/2024/jan/24/after-new-hampshire-primary-win-donald-trump-misle/,https://static.politifact.com/CACHE/images/politifact/photos/trump_scrum_2_1_23_2024/05978157103d389b25a159d2ad7ad152.jpg,"After New Hampshire primary win, Donald Trump misleads on Democrats voting, immigration, border wall",
/personalities/joe-biden/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_19138732015030/ac9362a6cf188ef35e318b73dbd46a04.jpg,,
/personalities/citizens-sanity/,https://static.politifact.com/CACHE/images/politifact/mugs/305066915_107016768814077_4257912391860664572_n/1a57b1d4d36a699e349d44b2fdb133dc.jpg,,
/personalities/jeh-johnson/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_16147786370702/f29525b6843975d9045803cc41a36f68.jpg,,
/personalities/francis-suarez/,https://static.politifact.com/CACHE/images/politifact/mugs/AP23062757631187/9275cf0bac18ef9507fc17623dd54b4b.jpg,,
/personalities/donald-trump/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_17226541257169/da40baf0ed859a5702e5749eca5160ca.jpg,,
https://www.nytimes.com/2024/02/05/us/politics/border-deal-immigration.html,https://static.politifact.com/politifact/curation/sources/nyt_1.jpg,,
https://www.usatoday.com/story/news/factcheck/2024/02/05/e-jean-carroll-judge-kaplan-sex-trafficking/72479757007/,https://static.politifact.com/politifact/curation/sources/new_usa_today_logo.jpg,,
https://www.usatoday.com/story/news/factcheck/2024/02/05/fabricated-trump-post-criticizing-e-jean-carroll-fact-check/72456902007/,https://static.politifact.com/politifact/curation/sources/new_usa_today_logo.jpg,,
https://www.cnn.com/2024/02/05/politics/fact-check-trump-james-lankford-endorsement/index.html,https://static.politifact.com/politifact/curation/sources/cnn_1.jpg,,
https://apnews.com/article/fact-check-nypd-protest-migrants-bail-times-square-214014962089,https://static.politifact.com/politifact/curation/sources/ap_1.jpg,,
